"","season","year","treatment","rep","LF.audpc","LM.audpc","RH.audpc","WM.audpc","Defo.audpc","BLB.audpc","BLS.audpc","LB.audpc","LS.audpc","NBS.audpc","RS.audpc"
"1","DS",2015,"FP",1,113.240656705351,42.3082973984744,0,602.013292123237,83.8682969623752,0,0,0,5.55555555555556,181.324027462787,0
"2","DS",2015,"FP",2,43.6945515092445,116.640816892945,0,605.384207318644,89.3820350663746,0,0,0,2.77777777777778,148.573665577342,0
"3","DS",2015,"FP",3,26.7730267191052,59.6244224829751,0,907.937220841857,188.926991486561,0,0,0,0,164.478995179943,0
"4","DS",2015,"FP",4,39.875485281832,69.2110348037851,0,1086.52559373328,150.798520054841,0,0,0,0,225.264106617306,0
"5","DS",2015,"GM",1,46.1634014937463,59.7929333881346,0,447.659392090857,51.622397644177,0,0,0,0,30.41598583878,0
"6","DS",2015,"GM",2,40.7184659022894,109.165813033525,0,562.014038465403,103.012499374658,0,0,0,0,95.9882104649794,0
"7","DS",2015,"GM",3,29.3911335578002,44.985891523935,0,911.481745174397,100.954846951224,0,0,0,0,121.064166407304,0
"8","DS",2015,"GM",4,69.5329455639558,73.3864577380977,0,1119.08482624849,191.913402200215,0,0,0,0,78.4123810342851,0
"9","DS",2015,"PR",1,42.8309028559455,73.6960003504121,0,622.222944381406,143.670830349752,0,0,0,12.4007936507936,188.417870709537,0
"10","DS",2015,"PR",2,60.9377372639223,113.252741687779,0,529.371280974659,91.950689617793,0,0,0,0,101.323242222365,0
"11","DS",2015,"PR",3,17.3611111111111,52.0168650006111,0,909.57489909169,79.0138794996681,0,0,0,6.51041666666667,271.986109877299,0
"12","DS",2015,"PR",4,25.8544389978214,89.9144344909954,0,807.740228233112,153.830824569021,0,0,0,0,206.029951265052,0
"13","DS",2015,"RP",1,84.3261188310638,101.001264548798,0,689.111580765816,169.987333258467,0,0,0,0,139.13410549482,0
"14","DS",2015,"RP",2,70.4098977758896,77.3818393484546,0,725.947264224216,113.135290898323,0,0,0,3.90625,202.776415334465,0
"15","DS",2015,"RP",3,39.1528555866791,69.915884052881,0,1039.63882845334,230.986825996501,0,0,0,0.925925925925926,172.47638752573,0
"16","DS",2015,"RP",4,25.1698085794196,62.7978320412531,0,1195.13373086771,211.112845114142,0,0,0,0,212.296588591836,0
